Type;FSL-3;
Version;2.40;
Date;16.Oct 23;
Mode;ANALYZER;
Center Freq;99960000,000000;Hz
Freq Offset;0,000000;Hz
Span;196000000,000000;Hz
x-Axis;LIN;
Start;1960000,000000;Hz
Stop;197960000,000000;Hz
Ref Level;10,000000;dBm
Level Offset;0,000000;dB
Ref Position;100,000000;%
y-Axis;LOG;
Level Range;100,000000;dB
Rf Att;30,000000;dB
RBW;30000,000000;Hz
VBW;100000,000000;Hz
SWT;0,215000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
1960000;-45,089347839355469;-80,745346069335937
2352000;-44,869709014892578;-81,650276184082031
2744000;-46,495582580566406;-82,890792846679688
3136000;-50,818958282470703;-76,816360473632813
3528000;-47,549236297607422;-88,120079040527344
3920000;-49,831932067871094;-87,485031127929687
4312000;-49,677230834960937;-82,175140380859375
4704000;-51,199565887451172;-83,03521728515625
5096000;-48,964729309082031;-86,708206176757813
5488000;-52,042255401611328;-81,388671875
5880000;-56,070751190185547;-91,762374877929688
6272000;-53,291896820068359;-85,594764709472656
6664000;-53,710300445556641;-94,795478820800781
7056000;-52,858924865722656;-94,963111877441406
7448000;-55,839469909667969;-92,242599487304688
7840000;-55,727512359619141;-80,672157287597656
8232000;-56,883861541748047;-84,696189880371094
8624000;-56,112503051757813;-107,00019073486328
9016000;-54,214897155761719;-87,417839050292969
9408000;-57,712661743164062;-81,845489501953125
9800000;-57,601806640625;-83,097557067871094
10192000;-57,388031005859375;-84,625961303710938
10584000;-57,285614013671875;-93,292488098144531
10976000;-59,616958618164062;-93,761077880859375
11368000;-59,507343292236328;-86,691688537597656
11760000;-55,39581298828125;-90,852378845214844
12152000;-59,126625061035156;-78,288261413574219
12544000;-59,370044708251953;-92,13629150390625
12936000;-58,987224578857422;-99,064163208007812
13328000;-58,300811767578125;-84,374824523925781
13720000;-58,798057556152344;-94,211112976074219
14112000;-59,89453125;-110,25578308105469
14504000;-57,384002685546875;-80,066864013671875
14896000;-59,834697723388672;-99,551460266113281
15288000;-60,765865325927734;-95,244720458984375
15680000;-59,091892242431641;-82,825019836425781
16072000;-59,786846160888672;-85,20050048828125
16464000;-58,515914916992188;-93,599411010742188
16856000;-62,335544586181641;-89,979774475097656
17248000;-59,974044799804688;-98,783462524414063
17640000;-61,35400390625;-97,265365600585937
18032000;-60,746158599853516;-85,724517822265625
18424000;-60,973396301269531;-98,91400146484375
18816000;-59,659927368164063;-95,235435485839844
19208000;-61,95245361328125;-94,2752685546875
19600000;-61,829967498779297;-94,80328369140625
19992000;-62,007911682128906;-97,427833557128906
20384000;-59,670490264892578;-96,210380554199219
20776000;-62,505714416503906;-101,03351593017578
21168000;-58,856422424316406;-86,882423400878906
21560000;-59,381801605224609;-89,31854248046875
21952000;-59,502532958984375;-106,15274047851562
22344000;-60,521305084228516;-100,20900726318359
22736000;-55,62689208984375;-87,240135192871094
23128000;-63,001808166503906;-95,312721252441406
23520000;-60,697696685791016;-89,049484252929688
23912000;-61,961112976074219;-106,1475830078125
24304000;-61,201995849609375;-99,172111511230469
24696000;-60,664836883544922;-80,810470581054687
25088000;-63,299827575683594;-85,190650939941406
25480000;-65,819206237792969;-115,08660888671875
25872000;-62,358840942382813;-96,000732421875
26264000;-63,057483673095703;-93,683792114257813
26656000;-61,542339324951172;-85,599197387695313
27048000;-62,950565338134766;-93,498863220214844
27440000;-62,517772674560547;-95,081451416015625
27832000;-60,493888854980469;-92,473747253417969
28224000;-62,666263580322266;-82,834312438964844
28616000;-62,307579040527344;-93,603988647460938
29008000;-61,646465301513672;-93,825691223144531
29400000;-64,020500183105469;-91,186004638671875
29792000;-64,073143005371094;-105,97837066650391
30184000;-65,00250244140625;-102,92513275146484
30576000;-64,489730834960938;-89,871772766113281
30968000;-64,170974731445313;-85,092178344726563
31360000;-61,953010559082031;-94,647346496582031
31752000;-65,021560668945313;-83,647575378417969
32144000;-62,485980987548828;-82,655937194824219
32536000;-64,556777954101563;-97,861282348632813
32928000;-63,046466827392578;-99,576675415039063
33320000;-61,4095458984375;-99,575637817382812
33712000;-61,911399841308594;-96,028480529785156
34104000;-64,401191711425781;-90,687942504882813
34496000;-62,860332489013672;-99,499862670898438
34888000;-66,218559265136719;-100,176025390625
35280000;-65,602767944335938;-89,417434692382813
35672000;-66,580131530761719;-96,943862915039063
36064000;-64,415138244628906;-101,70969390869141
36456000;-64,133041381835938;-105,09150695800781
36848000;-63,563369750976562;-92,180770874023438
37240000;-63,057258605957031;-92,688667297363281
37632000;-66,423301696777344;-112,5423583984375
38024000;-66,749725341796875;-100,94048309326172
38416000;-63,752143859863281;-95,145309448242188
38808000;-64,334548950195313;-96,132858276367188
39200000;-63,864559173583984;-108,65503692626953
39592000;-63,080791473388672;-93,349601745605469
39984000;-66,468887329101563;-97,00018310546875
40376000;-65,262832641601562;-101,86932373046875
40768000;-64,364616394042969;-94,968330383300781
41160000;-66,904098510742187;-104,73868560791016
41552000;-65,526649475097656;-89,434501647949219
41944000;-66,027511596679688;-98,225128173828125
42336000;-65,837814331054687;-97,956123352050781
42728000;-66,115127563476562;-98,782936096191406
43120000;-66,358383178710937;-96,299858093261719
43512000;-68,074989318847656;-106,57422637939453
43904000;-63,9871826171875;-99,920608520507813
44296000;-65,817619323730469;-92,494987487792969
44688000;-65,243911743164063;-95,345497131347656
45080000;-64,164833068847656;-98,133056640625
45472000;-64,49169921875;-109,92853546142578
45864000;-67,112457275390625;-96,917037963867188
46256000;-66,850173950195313;-109,23122406005859
46648000;-66,294921875;-86,664871215820312
47040000;-64,051017761230469;-104,52896118164062
47432000;-66,020767211914063;-98,378646850585938
47824000;-66,533424377441406;-97,941673278808594
48216000;-63,261325836181641;-102,98555755615234
48608000;-63,886421203613281;-112,41905212402344
49000000;-68,247596740722656;-92,450241088867187
49392000;-67,598609924316406;-98,832473754882813
49784000;-58,050762176513672;-88,557510375976563
50176000;-64,763450622558594;-93,152702331542969
50568000;-65,195289611816406;-100,05596160888672
50960000;-67,049087524414063;-110,40933227539062
51352000;-65,217720031738281;-89,105545043945313
51744000;-65,99664306640625;-99,38037109375
52136000;-64,408790588378906;-99,973098754882813
52528000;-65,77667236328125;-98,687820434570313
52920000;-65,165802001953125;-90,687904357910156
53312000;-63,102096557617188;-100,12395477294922
53704000;-66,707260131835938;-101,47453308105469
54096000;-63,109195709228516;-93,17364501953125
54488000;-62,991554260253906;-96,468437194824219
54880000;-66,185966491699219;-96,888236999511719
55272000;-65,172698974609375;-100,27480316162109
55664000;-65,414138793945313;-108,76624298095703
56056000;-65,219024658203125;-88,892875671386719
56448000;-67,64764404296875;-118,09652709960937
56840000;-65,088966369628906;-99,0794677734375
57232000;-71,231155395507813;-105,59921264648437
57624000;-67,635948181152344;-110,38526916503906
58016000;-67,363304138183594;-96,823127746582031
58408000;-66,6220703125;-100,84000396728516
58800000;-66,046836853027344;-114,989990234375
59192000;-67,398841857910156;-95,952125549316406
59584000;-63,532058715820313;-95,902313232421875
59976000;-66,352043151855469;-87,435989379882813
60368000;-66,873992919921875;-105,73637390136719
